ци	60
бш	1
ль	233
йк	9
ян	40
вн	67
аб	49
тб	2
рж	23
рв	22
лы	39
ын	15
юс	2
эр	4
им	61
тк	43
уг	36
мв	2
гд	9
ям	5
де	182
эн	2
аг	47
кж	1
нз	2
ем	79
жс	1
ин	170
ию	2
же	74
бщ	11
чи	92
ах	23
ен	361
ож	93
ча	104
фо	18
цо	5
то	218
ню	2
ея	15
ив	110
ес	237
вг	2
ыш	22
зл	12
нш	1
юб	12
щн	6
пт	4
бк	9
