dng	Cincinnati	US	061	OH	39.162	-84.45689	296943
dnf	Bloomington	US	105	IN	39.16533	-86.52639	80405
dnc	Evansville	US	163	IN	37.97476	-87.55585	117429
dnb	Belleville	US	163	IL	38.52005	-89.98399	44478
dnm	Asheville	US	021	NC	35.60095	-82.55402	83393
dnn	Columbia	US	079	SC	34.00071	-81.03481	129272
dnh	Athens	US	059	GA	33.96095	-83.37794	116714
dnk	Knoxville	US	093	TN	35.96064	-83.92074	178874
dnj	Greenville	US	045	SC	34.85262	-82.39401	58409
dnu	Mason	US	165	OH	39.36006	-84.30994	30712
dnt	Bristol	US	163	TN	36.59511	-82.18874	26702
dnw	Blacksburg	US	121	VA	37.22957	-80.41394	42620
dnv	Meads	US	019	KY	38.41258	-82.70905	288649
dnq	Charlotte	US	119	NC	35.22709	-80.84313	731424
dnp	Fayetteville	US	051	NC	35.05266	-78.87836	200564
dns	Richmond	US	151	KY	37.74786	-84.29465	31364
dnr	Greensboro	US	081	NC	36.07264	-79.79198	269666
dny	Parkersburg	US	107	WV	39.26674	-81.56151	31492
dnx	Roanoke	US	770	VA	37.27097	-79.94143	97032
dnz	Harrisonburg	US	660	VA	38.44957	-78.86892	48914
tx9	Shymkent	KZ		10	42.3	69.6	414032
tx8	Turkestan	KZ		10	43.29733	68.25175	97360
tx7	Andijon	UZ		01	40.78206	72.34424	318419
tx6	Namangan	UZ		06	40.9983	71.67257	432456
tx5	Osh City	KG		10	40.53957	72.81034	255900
tx4	Qo‘qon	UZ		03	40.52861	70.9425	187477
tx3	Tashkent	UZ		13	41.26465	69.21627	1978028
tx2	Sirdaryo	UZ		16	40.84361	68.66167	26816
tx1	Khŭjand	TJ		03	40.28256	69.62216	144865
tx0	Jizzax	UZ		15	40.11583	67.84222	152642
dn5	Chattanooga	US	065	TN	35.04563	-85.30968	167674
dn4	Huntsville	US	089	AL	34.73037	-86.5861	180105
dn7	Cleveland	US	011	TN	35.15952	-84.87661	41285
dn6	Nashville	US	037	TN	36.16589	-86.78444	530852
dn1	Florence	US	077	AL	34.79981	-87.67725	39319
dn0	Collierville	US	157	TN	35.04204	-89.66453	43965
dn3	Clarksville	US	125	TN	36.52977	-87.35945	132929
dn2	Jackson	US	113	TN	35.61452	-88.81395	65211
dn9	Hopkinsville	US	047	KY	36.86561	-87.49117	31577
dn8	Cape Girardeau	US	031	MO	37.30588	-89.51815	37941
w24	Tanjungpinang	ID		40	0.91667	104.45833	192493
w22	Seremban	MY		05	2.7297	101.9381	372917
w23	Johor Bahru	MY		01	1.4655	103.7578	802489
w20	Pekanbaru	ID		37	0.51667	101.44167	703956
w21	Singapore	SG		01	1.28967	103.85007	3547809
w28	Kuala Lumpur	MY		14	3.1412	101.68653	1453975
w29	Kuantan	MY		06	3.8077	103.326	366229
w2d	Kampung Tekek	MY		06	2.8147	104.1592	2000
w2e	Tarempa	ID		40	3.21583	106.21722	0
w2b	Gua Musang	MY		03	4.8823	101.9644	19731
w2c	Kuala Terengganu	MY		13	5.3302	103.1408	285065
w2n	Sekadau	ID		11	0.01667	110.9	0
w2m	Serasan	ID		40	2.51111	109.03111	0
w2j	Singkawang	ID		11	0.90925	108.98463	101838
w2t	Tanjung	ID		40	4.01527	108.34345	0
w2r	Sibu	MY		11	2.3	111.81667	198239
w2s	Sedanau	ID		40	3.79377	108.02929	0
w2p	Simanggang	MY		11	1.24722	111.45278	27207
w2q	Kuching	MY		11	1.55	110.33333	570407
w2x	Mukah	MY	Mukah Airport	MKM	2.906389952	112.0800018	0
9ww	Branson	US	Jecan Airport		37.38750076	-103.6910019	0
9wv	Colorado Springs	US	041	CO	38.83388	-104.82136	416427
9wu	Aspen	US	097	CO	39.1911	-106.81754	6658
9wt	Trinidad	US	071	CO	37.16946	-104.50054	9096
9ws	Alamosa	US	003	CO	37.46945	-105.87002	8780
9wr	Amarillo	US	375	TX	35.222	-101.8313	190695
9wq	Tucumcari	US	037	NM	35.17191	-103.72686	5363
9wp	Plainview	US	189	TX	34.18479	-101.70684	22194
9wz	Lamar	US	099	CO	38.08723	-102.62075	7804
9wy	La Junta	US	089	CO	37.98501	-103.54383	7077
9wx	Guymon	US	139	OK	36.6828	-101.48155	11442
9wg	Montrose	US	085	CO	38.47832	-107.87617	19132
9wf	Grand Junction	US	077	CO	39.06387	-108.55065	58566
9we	Farmington	US	045	NM	36.72806	-108.21869	45877
9wd	Cortez	US	083	CO	37.34888	-108.58593	8482
9wc	Huntington	US	015	UT	39.32664	-110.96461	2129
9wb	Richfield	US	041	UT	38.77247	-112.08409	7551
